Classifier,Year,resource_price
Minerals,2007,313.1833333
Minerals,2008,332.45
Minerals,2009,231.6166667
Minerals,2010,327
Minerals,2011,375
Gas,2007,6.376666667
Gas,2008,9.21
Gas,2009,4.04
Gas,2010,4.88
Gas,2011,5.506666667
Oil,2007,71.815
Oil,2008,98.2725
Oil,2009,62.0825
Oil,2010,79.515
Oil,2011,106.5325
